14750,8963,A bicycle leaning against a building near a window.,ഒരു ജാലകത്തിന് സമീപമുള്ള ഒരു കെട്ടിടത്തിനെതിരെ ഒരു സൈക്കിൾ.
257263,8980,A bathroom toilet is surrounded with silver handrails.,ഒരു കുളിമുറിയിൽ ടോയ്ലറ്റ് വെള്ളി നിറത്തിലുള്ള കൈത്തണ്ടുകളാണുള്ളത്.
101891,8991,A garage filled with old cards and old bicycles.,പഴയ കാർഡുകളും പഴയ സൈക്കിളുകളും നിറച്ച ഒരു ഗാരേജ്.
226658,9026,A woman sitting at a table with win and bread.,ഒരു സ്ത്രീ വീട്ടിൻറെയും അപ്പത്തിന്റെയും കൂടെ മേശയ്ക്കരികിൽ ഇരിക്കുകയായിരുന്നു.
24091,9049,A car is loaded down with many bicycles attached to it's roof.,ഒരു മേൽക്കൂരകൊണ്ട് പല സൈക്കിളുകളുമായി ഒരു കാർ ലോഡ് ചെയ്യും.
189278,9114,This is a restaurant kitchen with two industrial ovens.,ഇത് രണ്ട് വ്യാവസായിക അടുപ്പമുള്ള ഒരു റെസ്റ്റോറന്റ് അടുക്കളയാണ്.
374873,9117,Skiers are standing at the top of a snow-covered mountain.,മഞ്ഞുതുള്ളി പർവതനിരകൾ ഉയർത്തി നിൽക്കുന്നു.
379340,9125,A stop sign that has been vandalized is pictured in front of a parked car.,നശിച്ച ഒരു അടയാളം അടയാളപ്പെടുത്തിയ ഒരു കാറിന്റെ മുന്നിൽ ചിത്രീകരിച്ചിരിക്കുന്നു.
279939,9159,A bathroom with toilet and bowl for sink.,കുളിമുറിയിൽ കുളിമുറി കൊണ്ട് കുളിമുറി.
101891,9168,Some antique cars sit in a garage with some bicycles,ചില പഴയ കാറുകൾ ചില സൈക്കിളുകളുള്ള ഗാരേജിൽ ഇരിക്കുന്നു
79143,9184,A small bathroom has separate tub and shower.,ഒരു ചെറിയ ബാത്ത്റൂം പ്രത്യേക ട്യൂബും ഷവറും ഉണ്ട്.
435091,9224,A man in a pink sarong showing scissors to a woman with wine.,ഒരു പിങ്ക് സാരോങിൽ ഒരാൾ വീഞ്ഞ് ഒരു സ്ത്രീക്ക് കത്രിക കാണിച്ചു.
9469,9240,The boy is inspecting the wire for a project.,ഒരു കുട്ടിക്ക് വേണ്ടി വയർ പരിശോധന നടത്തുന്നു.
44816,9241,This is a photo of a small hotel bathroom,ഇത് ഒരു ചെറിയ ഹോട്ടൽ ബാത്ത്റൂമിന്റെ ഒരു ഫോട്ടോയാണ്
346909,9271,Two dogs are laying down next to each other.,രണ്ട് നായ്ക്കൾ പരസ്പരം വലിച്ചുതാഴ്ത്തുന്നു.
377955,9342,The shopping plaza has many stores and one parked car.,ഷോപ്പിംഗ് പ്ലാസയിൽ നിരവധി സ്റ്റോറുകളും ഒരു പാർക്ക് ചെയ്ത കാറുമുണ്ട്.
377955,9396,A silver sedan is parked in a plaza lot on a cloudy day.,ഒരു വെള്ളിയാഴ്ച സെപ്തംബർയിൽ ഒരു പ്ലാസ ലോട്ടിലാണ് ഒരു സെഡാൻ പാർക്ക് ചെയ്യുന്നത്.
2448,9464,A picture of a kitchen area with refrigerator and stove.,ഫ്രിഡ്ജ് ആൻഡ് സ്റ്റൌ കൂടെ അടുക്കള പ്രദേശം ഒരു ചിത്രം.
180141,9487,A family watches two boys singing into microphones.,മൈക്രോഫോണുകളിലേക്ക് പാടുന്ന രണ്ടു ആൺകുട്ടികൾ ഒരു കുടുംബം കാണുന്നു.
330238,9489,Skiers of all ages skiing down a slope and gathering at the bottom.,എല്ലാ പ്രായത്തിലുമുള്ള സ്കീയർ താഴോട്ട് സ്കീപ്പിലേക്ക് ഇറങ്ങുന്നു.
376047,9560,A modern lighted kitchen with stainless steel appliances.,സ്റ്റെയിൻലെസ്സ് സ്റ്റീൽ വീട്ടുപകരണങ്ങൾ ഒരു ആധുനിക വിളക്കുകൾ അടുക്കള.
170045,9576,A woman making something in a kitchen. ,ഒരു അടുക്കളയിൽ എന്തെങ്കിലും ഉണ്ടാക്കുന്ന ഒരു സ്ത്രീ.
351191,9590,A woman crossing a city street while carrying groceries.,ഒരു പലചരക്ക് കൊണ്ടുപോകുന്ന സമയത്ത് ഒരു സ്ത്രീ തെരുവു കടക്കുന്നു.
165350,9611,A group of bike riders race down a busy street.,ഒരു കൂട്ടം ബൈക്ക് യാത്രക്കാരും ഒരു തിരക്കേറിയ തെരുവിലൂടെ ഇറങ്ങുന്നു.
47093,9736,Two young women walking while one is on a cell phone,ഒരു സെൽ ഫോണിൽ ഒരാൾ നടക്കുമ്പോൾ രണ്ടു യുവതികൾ നടക്കുന്നു
350235,9775,Several athletes appear to be having a disagreement.,പല അത്ലറ്റുകളും ഒരു അഭിപ്രായവ്യത്യാസമുണ്ടെന്ന് തോന്നുന്നു.
549575,9799,A kitchen filled with many cupboards and lots of counter space.,പല കളിക്കാർ നിറഞ്ഞ് കൌണ്ടർ സ്പേസ് ഒരു അടുക്കള.
550126,9802,A white shower curtain with a spiral pattern hanging in the bathroom.,ബാത്ത്റൂമിൽ തൂങ്ങിക്കിടക്കുന്ന ഒരു വെളുത്ത ഷവർ മൂടുപടം.
194698,9803,A person holding a chihuahua sleeping on it's back in their arm. ,ഒരു ചിഹ്നയുടെ ഉറവിടം കൈവശമുള്ള ഒരാൾ അവരുടെ ഭുജത്തിൽ തിരിച്ചുവരുന്നു.
387408,9824,An attractive woman taking a selfie in a bathroom.,ഒരു കുളിമുറിയിൽ സ്വയം എടുക്കുന്ന സുന്ദരിയായ ഒരു സ്ത്രീ.
28149,9836,A TV is behind glass in a bathroom.,ബാത്ത്റൂമിൽ ഗ്ലാസിന് പിന്നിൽ ഒരു ടി.വി.
253464,9846,A very clean bathroom with the lights on.,ലൈറ്റുകൾ ഒരു വളരെ ശുദ്ധമായ ബാത്ത്റൂം.
331863,9867,A group of people sitting on a couch while a brown dog looks at them ,ഒരു തവിട്ടുനിറമുള്ള കുട്ടി നോക്കിയിരിക്കുമ്പോൾ ഒരു കസേരയിൽ ഇരിക്കുന്ന ഒരു കൂട്ടം ആളുകൾ
350553,9886,An older woman walking a bicycle with a bus in the background.,ഒരു ബസ് കൊണ്ട് ഒരു സൈക്കിൾ നടക്കുന്നത് വൃത്തിയുള്ള ഒരു സ്ത്രീ.
513461,9893,A man getting ready to surf as lookers walk by,കാഴ്ചക്കാരന് നോക്കി നടക്കാനായി ഒരു മനുഷ്യൻ തിരുകാൻ തയ്യാറായി
4377,9916,A group of friends enjoy a game of croquet on a grassy fenced in field.,ഒരു കൂട്ടം സുഹൃത്തുക്കൾ ഒരു പുല്ല് കളിപ്പാട്ടത്തിൽ കളത്തിലെ ഒരു പുല്ലുപോലെ ആസ്വദിക്കുന്നു.
24091,9943,A car has multiple bikes hooked onto it's roof.,ഒരു കാർ അതിന്മേൽ മേൽക്കൂരയിൽ കയറിയിറങ്ങുന്നു.
9469,9963,A young guy checking on a wire as he holds onto a dog leash.,ഒരു നായ കുപ്പായത്തിൽ പിടിച്ചിരിക്കുന്ന ഒരു വയറിൽ ഒരു ചെറുപ്പക്കാരൻ പരിശോധിക്കുന്നു.
161749,9976,Two dogs with a woman in the kitchen.,അടുക്കളയിൽ ഒരു സ്ത്രീയുമായി രണ്ട് നായ്ക്കൾ.
38682,9993,A man riding a bike down the street at night.,രാത്രിയിൽ തെരുവിൽ ഒരു ബൈക്കിൽ കയറുന്ന ഒരാൾ.
64941,9998,Three people riding bikes on the side of a road.,ബൈക്ക് ഓടിക്കുന്ന മൂന്ന് ആളുകൾ ബൈക്കിൽ സഞ്ചരിക്കുന്നു.
219409,10010,A fridge that is halfway open during the night.,രാത്രിയിൽ തുറക്കുന്ന ഒരു ഫ്രിഡ്ജ്.
524679,10112,Sister on her bike trying to race the bus.,ബസ് ഓടിച്ചെറിയാൻ അവളുടെ ബൈക്കിൽ സഹോദരി.
524679,10160,A person riding a very high bike on the road.,റോഡിൽ വളരെ ഉയർന്ന ബൈക്ക് സവാരി ചെയ്യുന്ന ഒരാൾ.
9469,10182,A boy is outside with his dog in a field surrounded by a sign and other items.,ഒരു ചിഹ്നത്തിലും മറ്റു വസ്തുക്കളിലും ഒരു വയലിൽ ഒരു കുട്ടി അവന്റെ വയറുമായി പുറംതള്ളപ്പെടുന്നു.
2448,10220,A very clean kitchen with the light on.,വെളിച്ചം വളരെ ശുദ്ധിയുള്ള അടുക്കള.
351191,10379,Shopper crossing a street in the downtown of a city.,ഒരു നഗരത്തിന്റെ ഡൗണ്ടൗണിൽ ഒരു തെരുവു കടക്കുന്നയാൾ.
377955,10425,a small strip mall with a few cars in the parking lot,പാർക്കിനുള്ളിൽ ഏതാനും കാറുകളുള്ള ഒരു ചെറിയ സ്ട്രിപ്പ് മാൾ
180141,10426,Kids and their moms are singing karaoke at the table.,കുട്ടികളും അവരുടെ അമ്മമാരും മേശയിൽ കരോക്കെ പാടുന്നു.
330238,10428,A group of people are skiing on a mountain.,ഒരു കൂട്ടം ആളുകൾ ഒരു മലയിൽ സ്കീയിംഗ് നടത്തുന്നു.
274682,10440,A master bedroom with a closet and attached bathroom.,ഒരു ക്ലോസറ്റ് ഘടിപ്പിച്ചിട്ടുള്ള ബാത്ത്റൂം ഒരു മാസ്റ്റർ മുറി.
425135,10489,The inside of a bathroom with two sinks.,രണ്ട് സിങ്കുകളുള്ള ഒരു ബാത്ത്റൂമിന്റെ ഉള്ളിൽ.
478007,10497,A wood bathroom vanity with a granite countertop.,ഒരു ഗ്രാനൈറ്റ് കൗണ്ടർ ടോപ്പിൽ ഒരു മരം ബാത്ത്റൂം വ്യതിയാനം.
9469,10506,A boy building something with wires and poles.,വയറുകളും ധ്രുവങ്ങളും ഉള്ള ഒരു കുട്ടി കെട്ടിപ്പടുക്കുന്നു.
389006,10711,A nicely decorated kitchen with metallic refrigerator and blue counter.,മെറ്റൽ റഫ്രിജറേറ്റും നീല കൌണ്ടറും ഉള്ള ഒരു അലങ്കരിച്ച അടുക്കള.
334790,10769,Boy riding skateboard and doing trick in air.,ബോയ് സ്കേറ്റിംഗിൽ സവാരി ചെയ്യുകയും വിമാനത്തിൽ ഹാട്രിക് നടത്തുകയും ചെയ്യുന്നു.
425135,10798,A large bathroom with two sinks and three windows.,രണ്ടു സിങ്കുകളുമായി മൂന്നു വലിയ വിൻഡോകൾ ഒരു വലിയ കുളിമുറി.
425135,10834,A view of a communal bathroom with multiple sinks and windows.,ഒന്നിലധികം സിങ്കുകളോടും ജാലകങ്ങളോടും ഉള്ള ഒരു വർഗീയ കുളിമുറിയിലെ കാഴ്ച.
350553,10852,A woman walks her bike past a city bus.,ഒരു സിറ്റി ബസ്സിൽ ഒരു സ്ത്രീ ബൈക്ക് ഓടുന്നത്.
28149,10859,A hotel bathroom that has technology in the mirror.,കണ്ണാടിയിൽ സാങ്കേതികവിദ്യ ഉള്ള ഒരു ഹോട്ടൽ ബാത്ത്റൂം.
360053,10987,A bed with blue bed spread on it in front of a window.,നീല ബെഡ്ഡോടുകൂടിയ ഒരു കിടക്കയ്ക്ക് ഒരു ജാലകത്തിന് മുന്നിൽ അത് വ്യാപിച്ചു.
175565,11037,A cocker spaniel sitting next to a woman holding a baby. ,ഒരു കുഞ്ഞിൻറെ കുട്ടി കൈവശമുള്ള ഒരു സ്ത്രീക്ക് അടുത്തായി ഒരു കോക്കറി സ്പാനിൾ.
479495,11039,A bicycle leans on a bench at a subway stop.,ഒരു സൈക്കിൾ സ്റ്റോപ്പിൽ ഒരു സൈക്കിളിൽ സൈക്കിൾ ചവിട്ടി.
178771,11070,A man on his skateboard at a basketball court.,ഒരു ബാസ്ക്കറ്റ്ബോൾ കോർട്ടിലുള്ള ഒരു സ്കോട്ബോർഡിൽ ഒരാൾ.
175565,11091,A dog lays on a couch next to a woman holding a baby.,ഒരു കുട്ടി കൈവശമുള്ള ഒരു സ്ത്രീയുടെ അടുത്ത് ഒരു കട്ടിലിൽ ഒരു നായ കിടക്കുന്നു.
432201,11093,Clean stainless steel kitchen with large cabinets and counter.,വലിയ കേന്ദ്രമന്ത്രിമാരും കൌണ്ടറുകളും ഉപയോഗിച്ച് സ്റ്റെയിൻലെസ്സ് സ്റ്റീൽ അടുക്കള വൃത്തിയാക്കുക.
56972,11131,A white pedestal sink below a white cabinet in a white bathroom. ,ഒരു വെളുത്ത ബാത്ത്റൂമിൽ ഒരു വെളുത്ത ക്യാബിനറ്റിനു താഴെയായി ഒരു വെളുത്ത പീഠിക്കൽ.
253464,11139,The yellow flowers sits atop the counter in a clean bathroom.,ശുദ്ധമായ ഒരു ബാത്ത്റൂമിൽ കറങ്ങാൻ മഞ്ഞ പൂക്കളുണ്ട്.
51644,11164,A srfer perches on his board precariously as he hits a big wave.,ഒരു വലിയ തിരമാലകളെ അഭിമുഖീകരിക്കുമ്പോൾ അയാളുടെ ബോർഡിൽ ഒരു കുതിച്ചുചാട്ടം.
331863,11301,A group of friends spending the day watching TV together.,ഒരു കൂട്ടം സുഹൃത്തുക്കളെ ഒരുമിച്ച് ടിവി കാണുന്ന ദിവസം കൂടി.
565401,11334,A bicycle leans against a park bench with a flowering tree nearby.,ഒരു സൈക്കിൾ സവാരി ഒരു പാർക്കിങ് ബെഞ്ചിന് സമീപം ഒരു പൂവിടുക്കിയിളവുണ്ട്.
346909,11347,Two dogs were captured in a photo with the lighting of the image altered.,ഒരു ചിത്രത്തിൽ രണ്ട് നായ്ക്കളെ പിടികൂടി ചിത്രത്തിന്റെ വിളക്കുകൾ മാറ്റി.
256950,11435,The serving counter of a restaurant is quiet.,ഒരു റെസ്റ്റോറന്റ് കൌണ്ടർ കൌണ്ടർ.
64941,11477,A group of two adults and a child biking down a road.,രണ്ട് മുതിർന്ന ആളുകളുടെ ഒരു കൂട്ടവും ഒരു കുട്ടിയും റോഡിലൂടെ ബൈക്കിൽ സഞ്ചരിക്കുന്നു.
474031,11497,A house with a white decorated kitchen. ,വെളുത്ത അലങ്കരിച്ച അടുക്കളയിൽ ഒരു വീട്.
175565,11586,A dog is laying next to a woman holding a baby.,ഒരു കുഞ്ഞിൻറെ കുട്ടി കൈവശമുള്ള ഒരു സ്ത്രീക്കു മുന്നിൽ നായയുണ്ട്.
276961,11593,A bathroom mirror with items in front of it.,ഇനങ്ങൾക്ക് മുന്നിലുള്ള ഒരു ബാത്ത്റൂം മിറർ.
530832,11639,Two women prepare a meal in a large kitchen.,രണ്ട് വനിതകൾ ഒരു വലിയ അടുക്കളയിൽ ഒരു ഭക്ഷണം തയ്യാറാക്കുന്നു.
579846,11665,A view of a hallway in a house.,ഒരു വീട്ടിൽ ഒരു ഇടനാഴി ഒരു വീക്ഷണം.
211265,11684,An empty bathroom featuring a toilette and window.,ഒരു ശൗച്യാലയത്തിന്റെയും ജാലകത്തിന്റെയും ഒരു ശൂന്യമായ ബാത്ത്റൂം.
474031,11806,A large kitchen featuring a counter top and refrigerator.,ഒരു കൌണ്ടർ ടോപ്പ് ഫ്രിഡ്ജ് ഒരു വലിയ അടുക്കള.
334790,11864,A man in a blue shirt and jeans doing a trick on a skateboard. ,ഒരു നീല ഷർട്ടും ജീൻസും ഒരു സ്കേറ്റ്ബോർഡിൽ ഒരു ഹാട്രിക് ചെയ്യുന്ന ഒരു മനുഷ്യൻ.
189278,11934,Two ovens in use in a professional kitchen .,പ്രൊഫഷണൽ അടുക്കളയിൽ ഉപയോഗിക്കുന്ന രണ്ട് അണ്ഡങ്ങൾ.
385626,11940,A woman in green is riding a bike.,ഒരു ബൈക്ക് ഓടിക്കൊണ്ടിരിക്കുന്നു.
279672,11978,A microwave is next to sage or some kind of spice.,മുനയുടേയോ ചിലതരം സുഗന്ധത്തേയോ അടുത്തുള്ള ഒരു മൈക്രോവേവ്.
256950,12104,A kitchen filled with dishes and bowls stacked on top of each other.,പരവതാനി വിരിയിക്കുന്ന വിഭവങ്ങളും പാത്രങ്ങളും നിറഞ്ഞ ഒരു അടുക്കള.
226517,12124,A kitchen with a wooden kitchen table and appliances in it.,ഒരു തടി അടുക്കള മേശയും വീട്ടുപകരണങ്ങളും ഉള്ള ഒരു അടുക്കള.
209040,12126,A bathroom sink with mirror placed above it.,ഒരു ബാത്ത്റൂം അതിന് മുകളിലായി കണ്ണാടിയിൽ മുങ്ങാം.
351191,12128,A person crossing at a crosswalk with bags in his hands.,കൈപ്പുള്ള ഒരു കൈത്തോക്ക് കടക്കുന്ന ഒരാൾ.
478007,12132,This is a bathroom sink in a hotel,ഇത് ഒരു ഹോട്ടലിൽ ബാത്ത്റൂം കുറ്റിയിരിക്കുന്നു
178771,12195,A young boy riding a skate board at a public skate park.,ഒരു പാവം സ്കേറ്റ് പാർക്കിൽ ഒരു സ്കേറ്റിംഗ് ബോർഡിൽ ഒരു ചെറുപ്പക്കാരൻ.
64941,12200,Two adults and a child riding bicycles on the side of a road.,രണ്ട് മുതിർന്നവരും റോഡരികിൽ സൈക്കിൾ സവാരി ചെയ്യുന്ന കുട്ടികളും.
524679,12269,A nun riding a very tallk bike next to a purple bus.,ഒരു കന്യാകുമാരി ഒരു പർപ്പിൾ ബസ്സിൽ നിന്ന് വളരെ ഉയരമുള്ള ബൈക്കിൽ സഞ്ചരിക്കുന്നു.
199743,12282,A person on a bicycle waiting to cross a street at the intersection.,കവലയിൽ ഒരു തെരുവിലൂടെ കടന്നുപോകുന്ന ഒരു സൈക്കിളിലെ ഒരു വ്യക്തി.
461221,12314,A kitchen cupboard in a kitchen with a stove and a sink.,ഒരു അടുക്കള ഒരു സിങ്കിൽ ഒരു അടുക്കളയിൽ ഒരു അടുക്കള അലമാര.
416909,12315,A small bathroom showing the sink and toilet area.,സിങ്കും ടോയ്ലറ്റും കാണിക്കുന്ന ഒരു ചെറിയ ബാത്റൂം.
178771,12339,A person skateboarding on an outside basketball court.,ഒരു ബാസ്കറ്റ് ബോൾ കോർട്ടിൽ ഒരു വ്യക്തി സ്കേറ്റ്ബോർഡിംഗ്.
427180,12368,A woman in a fushia shirt cooking in an industrial kitchen. ,ഒരു വ്യാവസായിക അടുക്കളയിൽ ഒരു ഫാഷ്യ ഷർട്ട് പാചകം ചെയ്യുന്ന ഒരു സ്ത്രീ.
276961,12457,A mirror reflecting the opposite wall of a bathroom. ,ഒരു ബാത്ത്റൂമിലെ എതിർ മതിൽ പ്രതിഫലിപ്പിക്കുന്ന ഒരു മിറർ.
